"","g_Circovirus","g_Chlorovirus","g_Mimivirus","g_Gammaretrovirus","g_Prymnesiovirus","g_Gemykroznavirus","g_Glamdringvirus","g_Indivirus","g_Hokovirus","g_Marseillevirus","g_Prasinovirus","g_Alpharetrovirus","g_Ambidensovirus","g_Tupanvirus","g_Klosneuvirus","g_Nanovirus","g_Chloriridovirus","g_Pestivirus","g_Alphabaculovirus","g_Canhaevirus","Other"
"CiA",0.071047227926078,0.28911704312115,0.13223819301848,0.00164271047227926,0.0254620123203285,0.315400410677618,0.00616016427104723,0.00698151950718686,0.00698151950718686,0,0.0238193018480493,0.00082135523613963,0,0.0082135523613963,0.00328542094455852,0,0.0217659137577002,0.000410677618069815,0.00082135523613963,0,0.0858316221765913
"CiB",0.912747231948519,0.00539415160405035,0.00312292987602915,0,0.00236585596668875,0,0.0339736916816504,0.000662439670672849,0.000567805432005299,0.0003785369546702,0.00331219835336425,0,0.0028390271600265,0.0026497586826914,0,0,0.00104097662534305,9.46342386675499e-05,0,0,0.0308507618056213
"CiC",0.270642201834862,0.169724770642202,0.13302752293578,0,0.0412844036697248,0,0.0137614678899083,0.00917431192660551,0.018348623853211,0,0.0412844036697248,0.00458715596330275,0,0.00917431192660551,0.00458715596330275,0,0.0137614678899083,0,0.018348623853211,0.00917431192660551,0.243119266055046
"CiD",0.496925656791504,0.197875908328675,0.119060927892677,0,0.0134153158188932,0,0.0134153158188932,0.0100614868641699,0.000558971492453885,0.00279485746226942,0.0156512017887088,0,0.034097261039687,0.00223588596981554,0.00447177193963108,0,0.00670765790944662,0,0.000558971492453885,0,0.082168809390721
"CiE",0.270770770770771,0.27027027027027,0.155155155155155,0.0005005005005005,0.0325325325325325,0,0,0.017017017017017,0.0105105105105105,0.003003003003003,0.0590590590590591,0,0.002002002002002,0.01001001001001,0.0105105105105105,0,0.016016016016016,0,0.0365365365365365,0,0.106106106106106
"CiF",0.359951603145795,0.252873563218391,0.144585601935874,0,0.0187537810042347,0,0.00786448880822747,0.00786448880822747,0.00544464609800363,0,0.0356926799758016,0,0.00362976406533575,0.0102843315184513,0.00302480338777979,0,0.0175438596491228,0,0,0.00423472474289171,0.128251663641863
"HmA",0,0.0336817653890825,0.0394889663182346,0.0150987224157956,0.157955865272938,0,0,0.18815331010453,0.0615563298490128,0.00348432055749129,0.0917537746806039,0.0987224157955865,0,0.0220673635307782,0.032520325203252,0,0.0174216027874564,0.0267131242740999,0.0313588850174216,0,0.180023228803717
"HmB",0,0.0329877474081056,0.05937794533459,0.0103675777568332,0.253534401508011,0,0,0.0914231856738926,0.061262959472196,0.000942507068803016,0.101790763430726,0.104618284637135,0,0.0386427898209237,0.0395852968897267,0,0.0131950989632422,0.0169651272384543,0.0235626767200754,0,0.151743638077286
"HmC",0.00242130750605327,0.036319612590799,0.0387409200968523,0.0145278450363196,0.204600484261501,0,0,0.117433414043584,0.0520581113801453,0.0121065375302663,0.0750605326876513,0.0750605326876513,0,0.0690072639225182,0.0472154963680387,0,0.00484261501210654,0.0242130750605327,0.0472154963680387,0,0.179176755447942
"HmD",0,0.0351758793969849,0.0351758793969849,0.0130653266331658,0.179899497487437,0,0,0.0964824120603015,0.0522613065326633,0,0.071356783919598,0.124623115577889,0,0.0522613065326633,0.0492462311557789,0,0.0120603015075377,0.0422110552763819,0.0412060301507538,0,0.194974874371859
"HmE",0,0.0366636113657195,0.0549954170485793,0.0155820348304308,0.147571035747021,0,0,0.0824931255728689,0.0430797433547204,0.00549954170485793,0.0678276810265811,0.140238313473877,0,0.076993583868011,0.0403299725022915,0,0.0183318056828598,0.0494958753437214,0.0311640696608616,0,0.189734188817599
"HmF",0,0.053030303030303,0.0551948051948052,0.00757575757575758,0.173160173160173,0,0,0.127705627705628,0.0616883116883117,0,0.101731601731602,0.112554112554113,0.00108225108225108,0.0292207792207792,0.0422077922077922,0,0.0216450216450216,0.0194805194805195,0.0205627705627706,0,0.173160173160173
"MsA",0.0310734463276836,0.330508474576271,0.353107344632768,0.0536723163841808,0.00564971751412429,0,0,0,0.00564971751412429,0,0,0.0508474576271186,0,0,0,0,0,0.0367231638418079,0.00282485875706215,0,0.129943502824859
"MsB",0.328849028400598,0.0224215246636771,0.00298953662182362,0,0.0149476831091181,0,0.506726457399103,0.00597907324364723,0,0,0.0179372197309417,0,0,0.00298953662182362,0.00298953662182362,0,0,0,0,0,0.0941704035874439
"MsC",0,0.348484848484849,0.151515151515152,0,0.0454545454545455,0,0.0757575757575758,0.0151515151515152,0,0,0,0,0,0,0.0454545454545455,0,0.136363636363636,0,0,0,0.181818181818182
"MsD",0.0412371134020619,0.0670103092783505,0.123711340206186,0,0.077319587628866,0.252577319587629,0,0.134020618556701,0.0206185567010309,0,0.0721649484536082,0,0.0876288659793814,0,0,0,0.0309278350515464,0,0.0103092783505155,0,0.0824742268041238
"MsE",0,0.5,0.454545454545455,0.0454545454545455,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MsF",0.0898876404494382,0.235955056179775,0.337078651685393,0,0,0,0,0.0337078651685393,0,0,0,0,0,0,0,0.280898876404494,0,0,0,0,0.0224719101123596
"PfA",0,0.247863247863248,0,0.0854700854700855,0.0341880341880342,0,0,0.00854700854700855,0,0.555555555555556,0,0,0,0,0,0,0,0.0256410256410256,0,0.0427350427350427,0
"PfB",0,0.0909090909090909,0.109090909090909,0.472727272727273,0,0,0,0,0,0.0909090909090909,0,0,0,0,0,0,0,0.0363636363636364,0,0.0727272727272727,0.127272727272727
"PfC",0,0,0,0,0,0,0,0.3,0.1,0.15,0,0,0,0.35,0,0,0,0,0,0.1,0
"PfD",0.00687547746371276,0.0126050420168067,0,0.787242169595111,0.000381970970206264,0,0,0.00114591291061879,0.0263559969442322,0.025974025974026,0,0.0229182582123759,0,0,0,0,0,0.0305576776165011,0.00381970970206264,0,0.0821237585943468
"PfE",0.0698324022346369,0.164804469273743,0,0,0.00279329608938547,0,0,0,0.463687150837989,0.290502793296089,0.00279329608938547,0,0,0,0,0,0,0,0,0.00279329608938547,0.0027932960893855
"PfF",0.239316239316239,0.00854700854700855,0,0.376068376068376,0,0,0,0,0.205128205128205,0.00854700854700855,0,0,0,0,0.00854700854700855,0,0,0.00854700854700855,0,0.0170940170940171,0.128205128205128
"ScA",0.399129172714078,0.00145137880986938,0,0,0.00435413642960813,0.409288824383164,0.0391872278664731,0.00725689404934688,0,0,0,0,0.0986937590711176,0.00290275761973875,0.00435413642960813,0.011611030478955,0,0,0.00145137880986938,0,0.0203193033381712
"ScB",0.606209150326797,0.0147058823529412,0.00490196078431373,0,0.0163398692810458,0,0.150326797385621,0.00163398692810458,0.00163398692810458,0,0.00490196078431373,0,0.104575163398693,0,0.00816993464052288,0,0,0,0,0,0.0866013071895425
"ScC",0.549180327868853,0.0163934426229508,0,0,0.0327868852459016,0,0.122950819672131,0,0.00819672131147541,0,0.00819672131147541,0.00819672131147541,0.122950819672131,0,0,0.0655737704918033,0,0,0,0,0.0655737704918032
"ScD",0.485981308411215,0.00186915887850467,0.00560747663551402,0,0.0130841121495327,0.248598130841122,0.145794392523364,0.00373831775700935,0,0.00186915887850467,0.00373831775700935,0,0.0429906542056075,0.00186915887850467,0.0242990654205607,0,0,0,0,0,0.0205607476635514
"ScE",0.325842696629214,0.0168539325842697,0.0168539325842697,0.0280898876404494,0.0224719101123595,0.134831460674157,0.157303370786517,0,0.00561797752808989,0,0.0112359550561798,0.050561797752809,0.123595505617978,0.0112359550561798,0.00561797752808989,0,0,0.0112359550561798,0.0112359550561798,0.00561797752808989,0.0617977528089888
"ScF",0.508982035928144,0.0149700598802395,0.00598802395209581,0,0.0269461077844311,0.140718562874251,0.0868263473053892,0.00898203592814371,0.00598802395209581,0,0.00598802395209581,0.0029940119760479,0.155688622754491,0.0029940119760479,0.0119760479041916,0,0,0,0,0,0.0209580838323353
